time,X
525.350113369,522859.4375
525.3705473499,522853.5625
525.3909815307,522835.0625
525.4114156112,522884.75
525.4318495918,522765.75
525.4522837721,522875.09375
525.4727178525,522863.09375
525.4931518326,522854.6875
525.5135860124,522850.125
525.5340200923,522857.40625
525.5544540722,522838.125
525.5748882518,522794.375
525.5953223312,522843.875
525.6157564106,522772.25
525.6361904897,522874.125
525.6566245689,522798.21875
525.6770587478,522810.65625
525.6974927265,522748.46875
525.7179268053,522811.40625
525.7383609839,522803.5625
525.7587950622,522747.875
525.7792290407,522850.8125
525.7996632186,522784.59375
525.8200972969,522805
525.8405312747,522782.1875
525.8609654524,522798.34375
525.8813995302,522798.53125
525.9018335075,522750.9375
525.922267685,522823.125
525.9427016623,522745.5625
525.9631357394,522795.53125
525.9835699162,522765.875
526.0040038931,522682.875
526.0244379699,522653.28125
526.0448721465,522689.09375
526.0653061229,522706.8125
526.0857402993,522711.71875
526.1061743754,522767.6875
526.1266083515,522743.875
526.1470425274,522728.8125
526.1674766033,522681.1875
526.187910679,522721.09375
526.2083447545,522664.96875
526.2287788299,522659.71875
526.2492129051,522698.5
526.2696470803,522652.625
526.2900810553,522747.21875
526.3105151303,522714.125
526.330949305,522720.4375
526.3513832795,522654.78125
526.371817354,522669.875
526.3922515283,522669.6875
526.4126855026,522652.84375
526.4331195766,522662.625
526.4535537507,522606.34375
526.4739877245,522705.3125
526.4944218983,522633.9375
526.5148559716,522659.15625
526.5352899452,522610.5
526.5557241186,522622.0625
526.5761581917,522645.21875
526.5965921645,522599.75
526.6170263374,522629.28125
526.6374604103,522622
526.6578943829,522619.5625
526.6783285554,522601.21875
526.6987626278,522663.3125
526.7191966,522627.875
526.7396307721,522576.21875
526.7600648441,522634.15625
526.7804988158,522591.75
526.8009329875,522622.28125
526.8213670592,522659.5625
526.8418010305,522507.65625
526.862235202,522471.875
526.882669273,522506.625
526.903103444,522539.71875
526.923537415,522537.46875
526.9439714858,522591.90625
526.9644056563,522572
526.9848396269,522588.125
527.0052736972,522524.28125
527.0257078673,522536.25
527.0461418374,522531.65625
527.0665759075,522518.46875
527.0870100773,522593.5625
527.1074441469,522509.875
527.1278781166,522578.90625
527.1483122859,522494.21875
527.1687463553,522530.84375
527.1891803245,522542.125
527.2096144934,522485.78125
527.2300485623,522562.625
527.250482631,522510.53125
527.2709166997,522555.90625
527.2913507682,522495.625
527.3117848364,522519.40625
527.3322189046,522515.40625
527.3526528728,522506.53125
527.3730870408,522525.375
527.3935211086,522464.40625
527.4139550761,522473.40625
527.4343892438,522496.125
527.4548233111,522492.78125
527.4752573784,522498.5
527.4956914455,522485.1875
527.5161255125,522518.375
527.5365595794,522456.125
527.5569936462,522443.6875
527.5774277128,522465.90625
527.5978617792,522463.125
527.6182959455,522484.59375
527.6387299116,522462.78125
527.6591640778,522528.125
527.6795981437,522378.03125
527.7000321096,522374.9375
527.7409003406,522393.5
527.7613343061,522449.8125
527.7817684713,522465.46875
527.8022025365,522491.9375
527.8226365014,522364.75
527.8430706662,522472.84375
527.8635047309,522427.40625
527.8839386954,522467.4375
527.9043728599,522450.5
527.9248069241,522402.09375
527.9452409882,522477.09375
527.9656750522,522390.375
527.9861091162,522415.21875
